club,city,versions
1. FC Heidenheim 1846,Heidenheim,15|16|17|18|19|20
1. FC Kaiserslautern,Kaiserslautern,15|16|17|18|19|20
1. FC Köln,Köln,15|16|17|18|19|20
1. FC Magdeburg,Magdeburg,18|19|20
1. FC Nürnberg,Nürnberg,15|16|17|18|19|20
1. FC Union Berlin,Berlin,15|16|17|18|19|20
1. FSV Mainz 05,Mainz,15|16|17|18|19|20
AC Ajaccio,Ajaccio,15|16|17|18|19|20
AC Arles Avignon,Avignon,15
AC Barnechea,Lo Barnechea,15
AC Horsens,Horsens,17|18|19|20
AD Alcorcón,Alcorcón,15|16|17|18|19|20
ADO Den Haag,Den Haag,15|16|17|18|19|20
AEK Athens,Athens,18|19|20
AFC Eskilstuna,Eskilstuna,18|20
AFC Wimbledon,London,15|16|17|18|19|20
AIK,Solna,15|16|17|18|19|20
AJ Auxerre,Auxerre,15|16|17|18|19|20
AS Béziers,Béziers,19
AS Monaco,Monaco,15|16|17|18|19|20
AS Nancy Lorraine,Nancy,15|16|17|18|19|20
AS Saint-Étienne,Saint-Étienne,15|16|17|18|19|20
AZ Alkmaar,Alkmaar,15|16|17|18|19|20
Aalborg BK,Aalborg,15|16|17|18|19|20
Aalesunds FK,Ålesund,15|18
Aarhus GF,Aarhus,16|17|18|19|20
Aberdeen,Aberdeen,15|16|17|18|19|20
Abha Club,Abha,20
Academica Clinceni,Clinceni,20
Accrington Stanley,Accrington,15|16|17|18|19|20
Adanaspor,Adana,17
Adelaide United,Adelaide,15|16|17|18|19|20
Ajax,Amsterdam,15|16|17|18|19|20
Akhisar Belediyespor,Akhisar,15|16|17|18|19
Al Adalah,Al-Hasa,20
Al Ahli,Jeddah,15|16|17|18|19|20
Al Ain FC,Al Ain,20
Al Batin,Hafar al-Batin,17|18|19
Al Faisaly,Harmah,15|16|17|18|19|20
Al Fateh,Al-Hasa,15|16|17|18|19|20
Al Fayha,Al Majma'ah,18|19|20
Al Hazem,Ar Rass,19|20
Al Hilal,Riyadh,15|16|17|18|19|20
Al Ittihad,Jeddah,15|16|17|18|19|20
Al Khaleej,Saihat,15|16|17
Al Nassr,Riyadh,15|16|17|18|19|20
Al Orobah,Sakakah,15
Al Qadisiyah,Khobar,16|17|18|19
Al Raed,Buraidah,15|16|17|18|19|20
Al Shabab,Riyadh,15|16|17|18|19|20
Al Shoulla,Al-Kharj,15
Al Taawoun,Buraidah,15|16|17|18|19|20
Al Wehda,Mecca,16|17|19|20
Alanyaspor,Alanya,17|18|19|20
Albacete BP,Albacete,15|16|18|19|20
Albirex Niigata,Niigata,17|18
Alianza Petrolera,Barrancabermeja,15|16|17|18|19|20
Amiens SC,Amiens,17|18|19|20
Amkar Perm,Perm,15|16|17|18
América FC (Minas Gerais),Belo Horizonte,17|19
América de Cali,Cali,18|19|20
Angers SCO,Angers,15|16|17|18|19|20
Antalyaspor,Antalya,16|17|18|19|20
Argentina,Buenos Aires,17|19
Argentinos Juniors,Buenos Aires,16|18|19|20
Arka Gdynia,Gdynia,17|18|19|20
Arsenal,London,15|16|17|18|19|20
Arsenal Tula,Tula,15|17|18
Arsenal de Sarandí,Sarandí,15|16|17|18|20
Ascoli,Ascoli Piceno,16|17|18|19|20
Associação Académica de Coimbra,Coimbra,15|16
Aston Villa,Birmingham,15|16|17|18|19|20
Astra Giurgiu,Giurgiu,20
Atalanta,Bergamo,15|16|17|18|19|20
Athletic Club de Bilbao,Bilbao,15|16|17|18|19|20
Athlone Town,Athlone,15
Atiker Konyaspor,Konya,15|16|17|18|19|20
Atlanta United,Atlanta,18|19|20
Atlético Bucaramanga,Bucaramanga,17|18|19|20
Atlético Clube Goianiense,Goiânia,18
Atlético Huila,Neiva,15|16|17|18|19|20
Atlético Madrid,Madrid,15|16|17|18|19|20
Atlético Mineiro,Belo Horizonte,17|18|19|20
Atlético Nacional,Medellín,15|16|17|18|19|20
Atlético Paranaense,Curitiba,17|18|19|20
Atlético Tucumán,San Miguel de Tucumán,17|18|19|20
Atlético de Rafaela,Rafaela,15|16|17
Atlético de San Luis,San Luis Potosí,20
Audax Italiano,Santiago,15|16|17|18|19|20
Australia,Canberra,15|16|17|18|19|20
Austria,Vienna,15|16|20
Avaí FC,Florianópolis,17|18|20
Avellino,Avellino,15|16|17|18|19
Avispa Fukuoka,Fukuoka,17
BB Erzurumspor,Erzurum,19
BK Häcken,Gothenburg,15|16|17|18|19|20
BSC Young Boys,Bern,15|16|17|18|19|20
Bahia,Salvador,19|20
Balıkesirspor,Balıkesir,15
Bari,Bari,15|16|17|18|19
Barnet,London,16|17
Barnsley,Barnsley,15|16|17|18|19|20
Bayer 04 Leverkusen,Leverkusen,15|16|17|18|19|20
Bayern München II,Munich,20
Beijing Renhe FC,Beijing,19|20
Beijing Sinobo Guoan FC,Beijing,19|20
Belgium,Brussels,18
Belgrano de Córdoba,Córdoba,15|16|17|18|19
Benevento,Benevento,17|18|19|20
Beşiktaş JK,Istanbul,15|16|17|18|19|20
Bilbao Athletic,Bilbao,16
Birmingham City,Birmingham,15|16|17|18|19|20
Blackburn Rovers,Blackburn,15|16|17|18|19|20
Blackpool,Blackpool,15|16|17|18|19|20
Boavista FC,Porto,15|16|17|18|19|20
Boca Juniors,Buenos Aires,15|16|17|18|19|20
Bohemian FC,Dublin,15|16|17|18|19|20
Bolivia,La Paz,15|16|17|18|19|20
Bologna,Bologna,15|16|17|18|19|20
Bolton Wanderers,Bolton,15|16|17|18|19|20
Borussia Dortmund,Dortmund,15|16|17|18|19|20
Borussia Mönchengladbach,Mönchengladbach,15|16|17|18|19|20
Botafogo,Rio de Janeiro,17|18|19|20
Bournemouth,Bournemouth,15|16|17|18|19|20
Boyacá Chicó FC,Tunja,15|16|17|19
Bradford City,Bradford,15|16|17|18|19|20
Bray Wanderers,Bray,15|16|17|18|19
Brazil,Brasília,16|17|18
Brentford,London,15|16|17|18|19|20
Brescia,Brescia,15|16|17|18|19|20
Brighton & Hove Albion,Brighton,15|16|17|18|19|20
Brisbane Roar,Brisbane,15|16|17|18|19|20
Bristol City,Bristol,15|16|17|18|19|20
Bristol Rovers,Bristol,16|17|18|19|20
Bruk-Bet Termalica Nieciecza,Nieciecza,16|17|18
Brøndby IF,Brøndby,15|16|17|18|19|20
Bulgaria,Sofia,15|16|17|18|19|20
Burnley,Burnley,15|16|17|18|19|20
Bursaspor,Bursa,15|16|17|18|19
Burton Albion,Burton upon Trent,15|16|17|18|19|20
Bury,Bury,15|16|17|18|19|20
Busan IPark,Busan,15
CA Osasuna,Pamplona,15|16|17|18|19|20
CD Antofagasta,Antofagasta,15|16|17|18|19|20
CD Aves,Vila das Aves,18|19|20
CD Cobreloa,Calama,15
CD Cobresal,El Salvador,15|16|17|20
CD Everton de Viña del Mar,Viña del Mar,17|18|19|20
CD Feirense,Santa Maria da Feira,17|18|19
CD Huachipato,Talcahuano,15|16|17|18|19|20
CD Leganés,Leganés,15|16|17|18|19|20
CD Lugo,Lugo,15|16|17|18|19|20
CD Mirandés,Miranda de Ebro,15|16|17|20
CD Nacional,Funchal,15|16|17|19
CD Numancia,Soria,15|16|17|18|19|20
CD O'Higgins,Rancagua,15|16|17|18|19|20
CD Palestino,Santiago,15|16|17|18|19|20
CD Tenerife,Santa Cruz de Tenerife,15|16|17|18|19|20
CD Tondela,Tondela,16|17|18|19|20
CD Universidad de Concepción,Concepción,15|16|17|18|19|20
CE Sabadell FC,Sabadell,15
CF Fuenlabrada,Fuenlabrada,20
CF Rayo Majadahonda,Majadahonda,19
CF Reus Deportiu,Reus,17|18|19
CFR Cluj,Cluj-Napoca,20
CSA - AL,Maceió,20
Cagliari,Cagliari,15|16|17|18|19|20
Cambridge United,Cambridge,15|16|17|18|19|20
Cameroon,Yaoundé,15|16|17|18|19|20
Canada,Ottawa,16|17|18|19|20
Cardiff City,Cardiff,15|16|17|18|19|20
Carlisle United,Carlisle,15|16|17|18|19|20
Carpi,Carpi,15|16|17|18|19
Castellammare di Stabia,Castellammare di Stabia,20
Catania,Catania,15
Ceará Sporting Club,Fortaleza,19|20
Celtic,Glasgow,15|16|17|18|19|20
Central Coast Mariners,Gosford,15|16|17|18|19|20
Central Córdoba,Santiago del Estero,20
Cerezo Osaka,Osaka,18|19|20
Cesena,Cesena,15|16|17|18|19
Chacarita Juniors,Villa Maipú,18
Chamois Niortais Football Club,Niort,15|16|17|18|19|20
Changchun Yatai FC,Changchun,19
Chapecoense,Chapecó,17|18|19|20
Charlton Athletic,London,15|16|17|18|19|20
Chelsea,London,15|16|17|18|19|20
Cheltenham Town,Cheltenham,15|17|18|19|20
Chemnitzer FC,Chemnitz,18|20
Chesterfield,Chesterfield,15|16|17|18
Chicago Fire,Chicago,15|16|17|18|19|20
Chievo Verona,Verona,15|16|17|18|19|20
Chile,Santiago,16|17|18|20
China PR,Beijing,16|17|18
Chindia Târgovişte,Târgovişte,20
Chivas USA,Los Angeles,15
Chongqing Dangdai Lifan FC SWM Team,Chongqing,19|20
Cittadella,Cittadella,15|17|18|19|20
Clermont Foot 63,Clermont-Ferrand,15|16|17|18|19|20
Club América,Mexico City,15|16|17|18|19|20
Club Atlas,Guadalajara,15|16|17|18|19|20
Club Atlético Aldosivi,Mar del Plata,16|17|19|20
Club Atlético Banfield,Banfield,15|16|17|18|19|20
Club Atlético Colón,Santa Fe,16|17|18|19|20
Club Atlético Huracán,Buenos Aires,16|17|18|19|20
Club Atlético Lanús,Lanús,15|16|17|18|19|20
Club Atlético Sarmiento,Junín,16|17
Club Atlético Talleres,Córdoba,17|18|19|20
Club Atlético Temperley,Temperley,16|17|18
Club Atlético Tigre,Victoria,15|16|17|18|19
Club Brugge KV,Bruges,15|16|17|18|19|20
Club Deportes Temuco,Temuco,17|18|19
Club León,León,15|16|17|18|19|20
Club Necaxa,Aguascalientes,17|18|19|20
Club Olimpo,Bahía Blanca,15|16|17|18
Club Tijuana,Tijuana,15|16|17|18|19|20
Clube Sport Marítimo,Funchal,15|16|17|18|19|20
Colchester United,Colchester,15|16|17|18|19|20
Colo-Colo,Santiago,15|16|17|18|19|20
Colombia,Bogotá,15|17|18|20
Colorado Rapids,Commerce City,15|16|17|18|19|20
Columbus Crew SC,Columbus,15|16|17|18|19|20
Como,Como,16
Coquimbo Unido,Coquimbo,20
Coritiba,Curitiba,17|18
Cork City,Cork,15|16|17|18|19|20
Cortuluá,Tuluá,16|17|18
Cosenza,Cosenza,19|20
Coventry City,Coventry,15|16|17|18|19|20
Cracovia,Kraków,15|16|17|18|19|20
Crawley Town,Crawley,15|16|17|18|19|20
Crewe Alexandra,Crewe,15|16|17|18|19|20
Criciúma,Criciúma,17
Crotone,Crotone,15|16|17|18|19|20
Crucero del Norte,Garupá,16
Cruz Azul,Mexico City,15|16|17|18|19|20
Cruzeiro,Belo Horizonte,17|18|19|20
Crystal Palace,London,15|16|17|18|19|20
Cultural Leonesa,León,18
Curicó Unido,Curicó,18|19|20
Czech Republic,Prague,15|16|17|18|19
Cádiz CF,Cádiz,17|18|19|20
Córdoba CF,Córdoba,15|16|17|18|19
Côte d'Ivoire,Yamoussoukro,15|16|17|18|19|20
Cúcuta Deportivo,Cúcuta,16|20
DC United,"Washington, D.C.",15|16|17|18|19|20
DSC Arminia Bielefeld,Bielefeld,16|17|18|19|20
Daegu FC,Daegu,18|19|20
Daejeon Citizen,Daejeon,16
Dagenham and Redbridge,London,15|16
Dalian YiFang FC,Dalian,19|20
Dalkurd FF,Uppsala,19
Damac FC,Khamis Mushait,20
De Graafschap,Doetinchem,16|19
Defensa y Justicia,Florencio Varela,15|16|17|18|19|20
Denizlispor,Denizli,20
Deportes Iquique,Iquique,15|16|17|18|19|20
Deportes Tolima,Ibagué,15|16|17|18|19|20
Deportivo Alavés,Vitoria-Gasteiz,15|16|17|18|19|20
Deportivo Cali,Cali,15|16|17|18|19|20
Deportivo Pasto,Pasto,15|16|17|18|19|20
Deportivo San Marcos de Arica,Arica,15|16
Deportivo Toluca,Toluca,15|16|17|18|19|20
Deportivo de La Coruña,A Coruña,15|16|17|18|19|20
Deportivo Ñublense,Chillán,15
Derby County,Derby,15|16|17|18|19|20
Derry City,Derry,15|16|17|18|19|20
Dijon FCO,Dijon,15|16|17|18|19|20
Dinamo Bucureşti,Bucharest,20
Dinamo Moscow,Moscow,15|16|18
Dinamo Zagreb,Zagreb,19|20
Djurgårdens IF,Stockholm,15|16|17|18|19|20
Doncaster Rovers,Doncaster,15|16|17|18|19|20
Dorados de Sinaloa,Culiacán,16
Drogheda United,Drogheda,15|16|18
Dundalk,Dundalk,15|16|17|18|19|20
Dundee FC,Dundee,15|16|17|18|19
Dundee United,Dundee,15|16
Dynamo Kyiv,Kyiv,19|20
ESTAC Troyes,Troyes,15|16|17|18|19|20
Ecuador,Quito,15|16|17|18|19|20
Egypt,Cairo,15|16|17|18|19|20
Eintracht Braunschweig,Braunschweig,15|16|17|18|19|20
Eintracht Frankfurt,Frankfurt,15|16|17|18|19|20
Elche CF,Elche,15|16|17|19|20
Empoli,Empoli,15|16|17|18|19|20
En Avant de Guingamp,Guingamp,15|16|17|18|19|20
Envigado FC,Envigado,15|16|17|18|19|20
Esbjerg fB,Esbjerg,15|16|17|19|20
Eskişehirspor,Eskişehir,15|16
Estoril Praia,Estoril,15|16|17|18
Estudiantes de La Plata,La Plata,15|16|17|18|19|20
Ettifaq FC,Dammam,17|18|19|20
Everton,Liverpool,15|16|17|18|19|20
Excelsior,Rotterdam,15|16|17|18|19
Exeter City,Exeter,15|16|17|18|19|20
Extremadura UD,Almendralejo,19|20
FC Admira Wacker Mödling,Mödling,15|16|17|18|19|20
FC Anzhi Makhachkala,Makhachkala,16|17|18
FC Arouca,Arouca,15|16|17
FC Augsburg,Augsburg,15|16|17|18|19|20
FC Barcelona,Barcelona,15|16|17|18|19|20
FC Barcelona B,Barcelona,15|18
FC Basel 1893,Basel,15|16|17|18|19|20
FC Bayern München,Munich,15|16|17|18|19|20
FC Botoşani,Botoşani,20
FC Carl Zeiss Jena,Jena,18|19|20
FC Chambly Oise,Chambly,20
FC Cincinnati,Cincinnati,20
FC Dallas,Dallas,15|16|17|18|19|20
FC Dordrecht,Dordrecht,15
FC Emmen,Emmen,19|20
FC Energie Cottbus,Cottbus,19
FC Erzgebirge Aue,Aue,15|17|18|19|20
FC Girondins de Bordeaux,Bordeaux,15|16|17|18|19|20
FC Groningen,Groningen,15|16|17|18|19|20
FC Hansa Rostock,Rostock,18|19|20
FC Helsingør,Helsingør,18
FC Hermannstadt,Sibiu,20
FC Ingolstadt 04,Ingolstadt,15|16|17|18|19|20
FC Juárez,Ciudad Juárez,20
FC Krasnodar,Krasnodar,15|16|17|18
FC København,Copenhagen,15|16|17|18|19|20
FC Lausanne-Sport,Lausanne,17|18
FC Lorient,Lorient,15|16|17|18|19|20
FC Lugano,Lugano,16|17|18|19|20
FC Luzern,Lucerne,15|16|17|18|19|20
FC Metz,Metz,15|16|17|18|19|20
FC Midtjylland,Herning,15|16|17|18|19|20
FC Nantes,Nantes,15|16|17|18|19|20
FC Nordsjælland,Farum,15|16|17|18|19|20
FC Orenburg,Orenburg,17
FC Paços de Ferreira,Paços de Ferreira,15|16|17|18|20
FC Penafiel,Penafiel,15
FC Porto,Porto,15|16|17|18|19|20
FC Pro Vercelli 1892,Vercelli,15|16|17|18
FC Red Bull Salzburg,Salzburg,15|16|17|18|19|20
FC Rostov,Rostov-on-Don,15|16|17|18
FC Rot-Weiß Erfurt,Erfurt,18
FC Schalke 04,Gelsenkirchen,15|16|17|18|19|20
FC Seoul,Seoul,15|16|17|18|19|20
FC Sion,Sion,15|16|17|18|19|20
FC Sochaux-Montbéliard,Montbéliard,15|16|17|18|19|20
FC St. Gallen,St. Gallen,15|16|17|18|19|20
FC St. Pauli,Hamburg,15|16|17|18|19|20
FC Thun,Thun,15|16|17|18|19|20
FC Tokyo,Tokyo,17|18|19|20
FC Tom Tomsk,Tomsk,17
FC Tosno,Tosno,18
FC Twente,Enschede,15|16|17|18|20
FC Ufa,Ufa,15|16|17|18
FC Ural Yekaterinburg,Yekaterinburg,15|16|17|18
FC Utrecht,Utrecht,15|16|17|18|19|20
FC Vaduz,Vaduz,15|16|17
FC Vestsjælland,Slagelse,15
FC Viitorul,Ovidiu,20
FC Voluntari,Voluntari,20
FC Wacker Innsbruck,Innsbruck,19
FC Würzburger Kickers,Würzburg,17|18|19|20
FC Zürich,Zürich,15|16|18|19|20
FCSB (Steaua),Bucharest,20
FK Austria Wien,Vienna,15|16|17|18|19|20
FK Bodø/Glimt,Bodø,15|16|17|19|20
FK Haugesund,Haugesund,15|16|17|18|19|20
FSV Frankfurt,Frankfurt,15|16
FSV Zwickau,Zwickau,18|19|20
Falkenbergs FF,Falkenberg,15|16|17|20
Famalicão,Vila Nova de Famalicão,20
Fenerbahçe SK,Istanbul,15|16|17|18|19|20
Feyenoord,Rotterdam,15|16|17|18|19|20
Figueirense,Florianópolis,17
Finland,Helsinki,15|16|17|18|19|20
Finn Harps,Ballybofey,17|18|20
Fiorentina,Florence,15|16|17|18|19|20
Fleetwood Town,Fleetwood,15|16|17|18|19|20
Fluminense,Rio de Janeiro,16|17|18|19|20
Foggia,Foggia,18|19
Football Bourg En Bresse Peronnas 01,Bourg-en-Bresse,16|17|18
Forest Green Rovers,Nailsworth,18|19|20
Fortaleza,Fortaleza,20
Fortaleza CEIF,Bogotá,15|17
Fortuna Düsseldorf,Düsseldorf,15|16|17|18|19|20
Fortuna Sittard,Sittard,19|20
Frosinone,Frosinone,15|16|17|18|19|20
Fulham,London,15|16|17|18|19|20
GD Chaves,Chaves,17|18
GFC Ajaccio,Ajaccio,15|16|17|18|19
GIF Sundsvall,Sundsvall,17|18|19|20
GKS Bełchatów,Bełchatów,15
Galatasaray SK,Istanbul,15|16|17|18|19|20
Galway United,Galway,18
Gamba Osaka,Suita,17|18|19|20
Gangwon FC,Chuncheon,18|19|20
Gaz Metan Mediaş,Mediaş,20
Gaziantepspor,Gaziantep,15|16|17
Gazişehir Gaziantep F.K.,Gaziantep,20
Gefle IF,Gävle,15|16|17
Genoa,Genoa,15|16|17|18|19|20
Gençlerbirliği SK,Ankara,15|16|17|18|20
Getafe CF,Getafe,15|16|17|18|19|20
Gil Vicente FC,Barcelos,15|20
Gillingham,Gillingham,15|16|17|18|19|20
Gimnasia y Esgrima La Plata,La Plata,15|16|17|18|19|20
Gimnàstic de Tarragona,Tarragona,16|17|18|19
Girona FC,Girona,15|16|17|18|19|20
Go Ahead Eagles,Deventer,15|17
Godoy Cruz,Mendoza,15|16|17|18|19|20
Goiás,Goiânia,17|20
Granada CF,Granada,15|16|17|18|19|20
Grasshopper Club Zürich,Zürich,15|16|17|18|19
Greece,Athens,15|16|17|18|19
Grenoble Foot 38,Grenoble,19|20
Grimsby Town,Cleethorpes,17|18|19|20
Grêmio,Porto Alegre,17|18|19|20
Guadalajara,Guadalajara,15|16|17|18|19|20
Guangzhou Evergrande Taobao FC,Guangzhou,19|20
Guangzhou R&F FC,Guangzhou,19|20
Guizhou Hengfeng FC,Guiyang,19
GwangJu FC,Gwangju,16|17|18
Gyeongnam FC,Changwon,15|19|20
Górnik Zabrze,Zabrze,15|16|18|19|20
Górnik Łęczna,Łęczna,15|16|17
Göztepe SK,İzmir,18|19|20
HJK Helsinki,Helsinki,17|18|19|20
Hajer,Al-Hasa,15|16
Hallescher FC,Halle,18|19|20
Halmstads BK,Halmstad,18
Hamburger SV,Hamburg,15|16|17|18|19|20
Hamilton Academical FC,Hamilton,15|16|17|18|19|20
Hammarby IF,Stockholm,16|17|18|19|20
Hannover 96,Hannover,15|16|17|18|19|20
Hartlepool United,Hartlepool,15|16|17
Heart of Midlothian,Edinburgh,16|17|18|19|20
Hebei China Fortune FC,Langfang,19|20
Hellas Verona,Verona,15|16|17|18|19|20
Helsingborgs IF,Helsingborg,15|16|17|20
Henan Jianye FC,Zhengzhou,19|20
Heracles Almelo,Almelo,15|16|17|18|19|20
Hertha BSC,Berlin,15|16|17|18|19|20
Hibernian,Edinburgh,18|19|20
Hobro IK,Hobro,15|16|18|19|20
Hokkaido Consadole Sapporo,Sapporo,18|19|20
Holstein Kiel,Kiel,18|19|20
Houston Dynamo,Houston,15|16|17|18|19|20
Huddersfield Town,Huddersfield,15|16|17|18|19|20
Hull City,Kingston upon Hull,15|16|17|18|19|20
Hungary,Budapest,15|16|17|18|19|20
IF Brommapojkarna,Stockholm,15|19
IF Elfsborg,Borås,15|16|17|18|19|20
IFK Göteborg,Göteborg,15|16|17|18|19|20
IFK Norrköping,Norrköping,15|16|17|18|19|20
IK Sirius,Uppsala,18|19|20
IK Start,Kristiansand,15|16|17|19
Iceland,Reykjavík,18|19|20
Incheon United FC,Incheon,15|16|17|18|19|20
Independiente,Avellaneda,15|16|17|18|19|20
Independiente Medellín,Medellín,15|16|17|18|19|20
Independiente Santa Fe,Bogotá,15|16|17|18|19|20
India,New Delhi,15|16|17|18|19|20
Inter,Milan,15|16|17|18|19|20
Internacional,Porto Alegre,17|19|20
